province_clean,zstate1,zcity3,推理,省,市全称,市简称,区全称,区简称,翻译过程,province,city,cityshort,town,townshort,provinceshortname,provincename,cityname,cityshortname,citypinyin,cityshortpinyin,provincepinyin
sichuan,sichuan,barkam,sichuan指四川，符合格式无需修改。barkam指四川的马尔康市，马尔康市是县级市，所属地级行政区是阿坝藏族羌族自治州，全称阿坝藏族羌族自治州，简称阿坝。马尔康市全称马尔康市，简称马尔康。,四川,阿坝藏族羌族自治州,阿坝,马尔康市,马尔康,四川拼音sichuan，阿坝藏族羌族自治州拼音abazangzuqiangzuzizhizhou，阿坝拼音aba，马尔康市拼音makekangs hi，马尔康拼音makekang,sichuan,abazangzuqiangzuzizhizhou,aba,makekangs hi,makekang,四川省,四川,阿坝藏族羌族自治州,阿坝,abacangzuqiangzuzizhizhou,Aba,Sichuan
xinjiang,xinjiang uygur,xayar,xinjiang uygur指新疆维吾尔自治区，无需修改。xayar指新疆的沙雅县，沙雅县所属地级行政区是阿克苏地区，全称阿克苏地区，简称阿克苏。沙雅县全称沙雅县，简称沙雅，填充到区。,新疆维吾尔自治区,阿克苏地区,阿克苏,沙雅县,沙雅,,xinjiangweiwuerzizhiqu,akesudiqu,akesu,shayaxian,shaya,新疆维吾尔自治区,新疆,阿克苏地区,阿克苏,akesudiqu,Aksu,Xinjiang
inner mongolia,inner mongolia,bayan hot,inner mongolia指内蒙古自治区，无需修改。bayan hot指内蒙古的巴彦浩特镇，所属地级行政区是阿拉善盟，全称阿拉善盟，简称阿拉善。巴彦浩特镇所在的阿拉善左旗，全称阿拉善左旗，简称阿左旗，填充到区。,内蒙古自治区,阿拉善盟,阿拉善,阿拉善左旗,阿左旗,内蒙古自治区拼音neimengguzizhiqu，阿拉善盟拼音alashanmeng，阿拉善拼音alashan，阿拉善左旗拼音alashanzuoqi，阿左旗拼音azuoqi,neimengguzizhiqu,alashanmeng,alashan,alashanzuoqi,azuoqi,内蒙古自治区,内蒙古,阿拉善盟,阿拉善盟,alashanmeng,Alxa,Inner Mongolia
inner mongolia,inner mongolia,alxa left banner,inner mongolia指内蒙古自治区，全称应改为内蒙古自治区，简称内蒙古。alxa left banner指内蒙古的阿拉善左旗，所属地级行政是阿拉善盟，全称阿拉善盟，简称阿拉善。阿拉善左旗全称阿拉善左旗，简称阿左旗,内蒙古自治区,阿拉善盟,阿拉善,阿拉善左旗,阿左旗,,neimengguzizhiqu,alashanmeng,alashan,alashanzuoqi,azuoqi,内蒙古自治区,内蒙古,阿拉善盟,阿拉善盟,alashanmeng,Alxa,Inner Mongolia
inner mongolia,inner mongolia,ejin qi,inner mongolia指内蒙古自治区，无需修改。ejin qi指内蒙古自治区的额济纳旗，额济纳旗是县级行政区，所属地级行政区是阿拉善盟，全称阿拉善盟，简称阿盟。额济纳旗全称额济纳旗，简称额济纳，填充到区。,内蒙古自治区,阿拉善盟,阿盟,额济纳旗,额济纳,,nei meng gu zi zhi qu,a la shan meng,a meng,e ji na qi,e ji na,内蒙古自治区,内蒙古,阿拉善盟,阿拉善盟,alashanmeng,Alxa,Inner Mongolia
inner mongolia,inner mongolia,altan emel,inner mongolia指内蒙古自治区，无需修改。altan emel指内蒙古自治区的阿拉善左旗，阿拉善左旗是县级行政区，所属地级行政区是阿拉善盟，全称阿拉善盟，简称阿拉善。阿拉善左旗全称阿拉善左旗，简称左旗,内蒙古自治区,阿拉善盟,阿拉善,阿拉善左旗,左旗,,neimengguzizhiqu,alashanmeng,alashan,alashanzuoqi,zuoqi,内蒙古自治区,内蒙古,阿拉善盟,阿拉善盟,alashanmeng,Alxa,Inner Mongolia
tibet,tibet,coqên county,tibet指西藏，无需修改。coqên county指西藏的措勤县，措勤县是县级市，所属地级行政区是阿里地区，全称阿里地区，简称阿里。措勤县全称措勤县，简称措勤，填充到区。,西藏,阿里地区,阿里,措勤县,措勤,,xizang,ali diqu,ali,cuoqinxian,cuoqin,西藏自治区,西藏,阿里地区,阿里,alidiqu,Ngari,Tibet
tibet,tibet,purang county,tibet指西藏自治区，全称西藏自治区，简称西藏。purang county指西藏自治区阿里地区的普兰县，所属地级行政区是阿里地区，全称阿里地区，简称阿里。普兰县全称普兰县，简称普兰,西藏自治区,阿里地区,阿里,普兰县,普兰,,xizangzizhiqu,alidiqu,ali,pulanxian,pulan,西藏自治区,西藏,阿里地区,阿里,alidiqu,Ngari,Tibet
guizhou,guizhou,ziyun miaozu buyeizu aut county,guizhou指贵州，无需修改。ziyun miaozu buyeizu aut county指贵州安顺市的紫云苗族布依族自治县，所属地级行政区是安顺市，全称安顺市，简称安顺。紫云苗族布依族自治县全称紫云苗族布依族自治县，简称紫云,贵州,安顺市,安顺,紫云苗族布依族自治县,紫云,,gui zhou,an shun shi,an shun,zi yun miao zu bu yi zu zi zhi xian,zi yun,贵州省,贵州,安顺市,安顺,anshunshi,Anshun,Guizhou
henan,henan,qi county,henan指河南，无需修改。qi county指河南安阳市的淇县，所属地级行政是安阳市，全称安阳市，简称安阳。淇县全称淇县，简称淇,河南,安阳市,安阳,淇县,淇,河南拼音henan，安阳市拼音anyangshi，安阳拼音anyang，淇县拼音qixian，淇拼音qi,henan,anyangshi,anyang,qixian,qi,河南省,河南,安阳市,安阳,anyangshi,Anyang,Henan
guangxi,guangxi zhuang,longlin various nationalities autonomous,guangxi zhuang指广西壮族自治区，无需修改。longlin various nationalities autonomous指广西的隆林各族自治县，所属地级行政区是百色市，全称百色市，简称百色。隆林各族自治县全称隆林各族自治县，简称隆林，填充到区。,广西壮族自治区,百色市,百色,隆林各族自治县,隆林,,guangxizhuangzuzizhiqu,baiseishi,baise,longlingezuzizhixian,longlin,广西省,广西,百色市,百色,baiseshi,Baise,Guangxi
jilin,jilin,changbai chosenzu aut county,jilin指吉林，无需修改。changbai chosenzu aut county指吉林白山的长白朝鲜族自治县，长白朝鲜族自治县是县级市，所属地级行政区是白山市，全称白山市，简称白山。长白朝鲜族自治县全称长白朝鲜族自治县，简称长白，填充到区。,吉林,白山市,白山,长白朝鲜族自治县,长白,,jilin,baishanshi,baishan,changbaichaoxianjiaozuzizhixian,changba,吉林省,吉林,白山市,白山,baishanshi,Baishan,Jilin
shanxi,shaanxi,mei county,shaanxi指陕西，无需修改。mei county指陕西的眉县，所属地级行政是宝鸡市，全称宝鸡市，简称宝鸡。眉县全称眉县，简称眉县,陕西,宝鸡市,宝鸡,眉县,眉县,,shanxi,baojishi,baoji,meixian,meixian,陕西省,陕西,宝鸡市,宝鸡,baojishi,Baoji,Shaanxi
inner mongolia,inner mongolia,tumd youqi,inner mongolia指内蒙古自治区，无需修改。tumd youqi指内蒙古自治区的土默特右旗，土默特右旗是县级行政区，所属地级行政区是包头市，全称包头市，简称包头。土默特右旗全称土默特右旗，简称土右，填充到区。,内蒙古自治区,包头市,包头,土默特右旗,土右,,nei meng gu zi zhi qu,bao tou shi,bao tou,tu mo te you qi,tu you,内蒙古自治区,内蒙古,包头市,包头,baotoushi,Baotou,Inner Mongolia
inner mongolia,inner mongolia,urad zhongqi,inner mongolia指内蒙古自治区，全称内蒙古自治区，简称内蒙古。urad zhongqi指内蒙古的乌拉特中旗，乌拉特中旗是县级行政区，所属地级行政区是巴彦淖尔市，巴彦淖尔市全称巴彦淖尔市，简称巴彦淖尔。乌拉特中旗全称乌拉特中旗，简称中旗,内蒙古,巴彦淖尔市,巴彦淖尔,乌拉特中旗,中旗,,neimenggu,bayannaoershi,bayannaoer,wulate zhongqi,zhongqi,内蒙古自治区,内蒙古,巴彦淖尔市,巴彦淖尔,bayannaoershi,Bayan Nur,Inner Mongolia
inner mongolia,inner mongolia,urad front banner,inner mongolia指内蒙古自治区，无需修改。urad front banner指内蒙古自治区的乌拉特前旗，乌拉特前旗是县级行政区，所属地级行政区是巴彦淖尔市，全称巴彦淖尔市，简称巴彦淖尔。乌拉特前旗全称乌拉特前旗，简称前旗,内蒙古自治区,巴彦淖尔市,巴彦淖尔,乌拉特前旗,前旗,,neimengguzizhiqu,bayannaoershi,bayannaoer,wulateqianqi,qianqi,内蒙古自治区,内蒙古,巴彦淖尔市,巴彦淖尔,bayannaoershi,Bayan Nur,Inner Mongolia
