province_clean,zstate1,zcity3,推理,省,市全称,市简称,区全称,区简称,翻译过程,province,city,cityshort,town,townshort,provinceshortname,provincename,cityname,cityshortname,citypinyin,cityshortpinyin,provincepinyin
xinjiang,xinjiang uygur,burqin county,xinjiang uygur指新疆维吾尔自治区。burqin county指新疆维吾尔自治区的布尔津县，所属地级行政区是阿勒泰地区，全称阿勒泰地区，简称阿勒泰。布尔津县全称布尔津县，简称布尔津,新疆维吾尔自治区,阿勒泰地区,阿勒泰,布尔津县,布尔津,新疆维吾尔自治区拼音xinjiangweiwuerzizhiqu，阿勒泰地区拼音aletaidiqu，阿勒泰拼音aletai，布尔津县拼音buerjinxian，布尔津拼音buerjin,xinjiangweiwuerzizhiqu,aletaidiqu,aletai,buerjinxian,buerjin,新疆维吾尔自治区,新疆,阿勒泰地区,阿勒泰,aletaidiqu,Altay,Xinjiang
xinjiang,xinjiang uygur,altay prefecture,xinjiang uygur指新疆维吾尔自治区。altay prefecture指新疆维吾尔自治区的阿勒泰地区，全称阿勒泰地区，简称阿勒泰。,新疆维吾尔自治区,阿勒泰地区,阿勒泰,null,null,新疆维吾尔自治区拼音xinjiangweiwuerzizhiqu，阿勒泰地区拼音aletai diqu，阿勒泰拼音aleta，null非中文返回null，null非中文返回null,xinjiangweiwuerzizhiqu,aletai diqu,aleta,null,null,新疆维吾尔自治区,新疆,阿勒泰地区,阿勒泰,aletaidiqu,Altay,Xinjiang
guangxi,guangxi zhuang,longlin gezu aut county,guangxi zhuang指广西壮族自治区。longlin gezu aut county指广西百色市的隆林各族自治县，所属地级行政区是百色市，全称百色市，简称百色。隆林各族自治县的全称是隆林各族自治县，简称隆林，填充到区。,广西壮族自治区,百色市,百色,隆林各族自治县,隆林,广西壮族自治区拼音guangxizhuangzuzizhiqu，百色市拼音baise shi，百色拼音baise，隆林各族自治县拼音longlingezuzizhixian，隆林拼音longlin,guangxizhuangzuzizhiqu,baise shi,baise,longlingezuzizhixian,longlin,广西省,广西,百色市,百色,baiseshi,Baise,Guangxi
xinjiang,xinjiang uygur,hoxud,xinjiang uygur指新疆维吾尔自治区。hoxud指新疆的和硕县，和硕县是县级行政区，所属地级行政区是巴音郭楞蒙古自治州，全称巴音郭楞蒙古自治州，简称巴州。和硕县的全称是和硕县，简称和硕，填充到区。,新疆维吾尔自治区,巴音郭楞蒙古自治州,巴州,和硕县,和硕,新疆维吾尔自治区拼音xinjiangweiwuerzizhiqu，巴音郭楞蒙古自治州拼音bayinguolengmengguzizhizhou，巴州拼音bazhou，和硕县拼音heshuo xian，和硕拼音heshuo,xinjiangweiwuerzizhiqu,bayinguolengmengguzizhizhou,bazhou,heshuo xian,heshuo,新疆维吾尔自治区,新疆,巴音郭楞蒙古自治州,巴音郭楞,bayinguolengmengguzizhizhou,Bayingol,Xinjiang
guangxi,guangxi zhuang,haicheng district,guangxi zhuang指广西壮族自治区。haicheng district指广西北海的海城区，所属地级行政是北海市，全称北海市，简称北海。海城区全称海城区，简称海城,广西壮族自治区,北海市,北海,海城区,海城,广西壮族自治区拼音guangxizhuangzuzizhiqu，北海市拼音beihaishi，北海拼音beihai，海城区拼音haichengqu，海城拼音haicheng,guangxizhuangzuzizhiqu,beihaishi,beihai,haichengqu,haicheng,广西省,广西,北海市,北海,beihaishi,Beihai,Guangxi
beijing,beijing,haidian neighborhood,beijing指北京。haidian neighborhood指北京的海淀区，海淀区是市辖区，全称海淀区，简称海淀,北京,北京市,北京,海淀区,海淀,北京拼音beijing，北京市拼音beijingshi，北京拼音beijing，海淀区拼音haidianqu，海淀拼音haidian,beijing,beijingshi,beijing,haidianqu,haidian,北京市,北京,北京市,北京,beijingshi,Beijing,Beijing
beijing,beijing,daxing district,beijing指北京。daxing district指北京的大兴区，所属地级行政是北京市，全称北京市，简称北京。大兴区全称大兴区，简称大兴,北京,北京市,北京,大兴区,大兴,北京拼音beijing，北京市拼音beijingshi，北京拼音beijing，大兴区拼音daxingqu，大兴拼音daxing,beijing,beijingshi,beijing,daxingqu,daxing,北京市,北京,北京市,北京,beijingshi,Beijing,Beijing
beijing,beijing,mentougou district,beijing指北京。mentougou district指北京的门头沟区，门头沟区是北京市辖区，全称门头沟区，简称门头沟,北京,北京市,北京,门头沟区,门头沟,北京拼音beijing，北京市拼音beijingshi，北京拼音beijing，门头沟区拼音mentougouqu，门头沟拼音mentougou,beijing,beijingshi,beijing,mentougouqu,mentougou,北京市,北京,北京市,北京,beijingshi,Beijing,Beijing
xinjiang,xinjiang uygur,yizhou district,xinjiang uygur指新疆维吾尔自治区。yizhou district指新疆维吾尔自治区昌吉回族自治州的伊州区，所属地级行政是昌吉回族自治州，全称昌吉回族自治州，简称昌吉。伊州区全称伊州区，简称伊州,新疆维吾尔自治区,昌吉回族自治州,昌吉,伊州区,伊州,新疆维吾尔自治区拼音xinjiangweiwuerzizhiqu，昌吉回族自治州拼音changjihuizuzizhizhou，昌吉拼音changji，伊州区拼音yizhouqu，伊州拼音yizhou,xinjiangweiwuerzizhiqu,changjihuizuzizhizhou,changji,yizhouqu,yizhou,新疆维吾尔自治区,新疆,昌吉回族自治州,昌吉,changjihuizuzizhizhou,Changji,Xinjiang
shandong,shandong,lincheng neighborhood,shandong指山东。lincheng neighborhood指山东德州的临城街道，所属地级行政是德州市，全称德州市，简称德州。临城街道的全称是临城街道，简称临城,山东,德州市,德州,临城街道,临城,山东拼音shandong，德州市拼音dezhoushi，德州拼音dezhou，临城街道拼音linchengjiedao，临城拼音lincheng,shandong,dezhoushi,dezhou,linchengjiedao,lincheng,山东省,山东,德州市,德州,dezhoushi,Dezhou,Shandong
gansu,gansu,zhang county,gansu是指甘肃。zhang county指甘肃的漳县，漳县是县级行政区，所属地级行政区是定西市，全称定西市，简称定西。漳县的全称是漳县，简称漳县，填充到区。,甘肃,定西市,定西,漳县,漳县,甘肃拼音gansu，定西市拼音dingxishi，定西拼音dingxi，漳县拼音zhangxian，漳县拼音zhangxian,gansu,dingxishi,dingxi,zhangxian,zhangxian,甘肃省,甘肃,定西市,定西,dingxishi,Dingxi,Gansu
anhui,anhui,dangcheng town,anhui指安徽。dangcheng town指安徽阜阳的颍上县的一个镇，所属地级行政区是阜阳市，全称阜阳市，简称阜阳。颍上县是阜阳市辖县，全称颍上县，简称颍上，dangcheng town推断为颍上县的迪沟镇，全称迪沟镇，简称迪沟,安徽,阜阳市,阜阳,迪沟镇,迪沟,安徽拼音anhui，阜阳市拼音fuyangshi，阜阳拼音fuyang，迪沟镇拼音digouzhen，迪沟拼音digou,anhui,fuyangshi,fuyang,digouzhen,digou,安徽省,安徽,阜阳市,阜阳,fuyangshi,Fuyang,Anhui
shanxi,shaanxi,lüeyang,shaanxi指陕西。lüeyang可能是指陕西的略阳县，略阳县是县级行政区，所属地级行政区是汉中市，全称汉中市，简称汉中。略阳县的全称是略阳县，简称略阳，填充到区。,陕西,汉中市,汉中,略阳县,略阳,陕西拼音shanxi，汉中市拼音hanzhongshi，汉中拼音hanzhong，略阳县拼音lueyangxian，略阳拼音lueyang,shanxi,hanzhongshi,hanzhong,lueyangxian,lueyang,陕西省,陕西,汉中市,汉中,hanzhongshi,Hanzhong,Shaanxi
yunnan,yunnan,xiaodongshan,yunnan指云南。xiaodongshan指云南的个旧市的小东山，所属地级行政区是红河哈尼族彝族自治州，全称红河哈尼族彝族自治州，简称红河。个旧市的全称是个旧市，简称个旧，填充到区。,云南,红河哈尼族彝族自治州,红河,个旧市,个旧,云南拼音yunnan，红河哈尼族彝族自治州拼音honghehanizuyizuzhizhou，红河拼音honghe，个旧市拼音gejiu shi，个旧拼音gejiu,yunnan,honghehanizuyizuzhizhou,honghe,gejiu shi,gejiu,云南省,云南,红河哈尼族彝族自治州,红河,honghehanizuyizuzizhizhou,Honghe,Yunnan
inner mongolia,inner mongolia,holin gol,inner mongolia指内蒙古自治区。holin gol指内蒙古自治区呼伦贝尔市的陈巴尔虎旗，陈巴尔虎旗是县级行政区，所属地级行政区是呼伦贝尔市，全称呼伦贝尔市，简称呼伦贝尔。陈巴尔虎旗的全称是陈巴尔虎旗，简称陈巴尔虎，填充到区,内蒙古自治区,呼伦贝尔市,呼伦贝尔,陈巴尔虎旗,陈巴尔虎,内蒙古自治区拼音neimengguzizhiqu，呼伦贝尔市拼音hulunbeiershi，呼伦贝尔拼音hulunbeier，陈巴尔虎旗拼音chenbaerhuqi，陈巴尔虎拼音chenbaerhu,neimengguzizhiqu,hulunbeiershi,hulunbeier,chenbaerhuqi,chenbaerhu,内蒙古自治区,内蒙古,呼伦贝尔市,呼伦贝尔,hulunbeiershi,Hulunbuir,Inner Mongolia
zhejiangsheng,zhejiang,xintang,zhejiang指浙江省。xintang指浙江省湖州市的新市镇，新市镇是镇，所属地级行政区是湖州市，全称湖州市，简称湖州。新市镇的全称是新市镇，简称新市，填充到区,浙江省,湖州市,湖州,新市镇,新市,浙江省拼音zhejiangsheng，湖州市拼音huzhoushi，湖州拼音huzhou，新市镇拼音xinshizhen，新市拼音xinshi,zhejiangsheng,huzhoushi,huzhou,xinshizhen,xinshi,浙江省,浙江,湖州市,湖州,huzhoushi,Huzhou,Zhejiang
guangdong,guangdong,nanji,guangdong指广东。nanji指广东江门的恩平市那吉镇，所属地级行政是江门市，全称江门市，简称江门。那吉镇全称那吉镇，简称那吉，填充到区。,广东,江门市,江门,那吉镇,那吉,广东拼音guangdong，江门市拼音jiangmenshi，江门拼音jiangmen，那吉镇拼音najizhen，那吉拼音naj,guangdong,jiangmenshi,jiangmen,najizhen,naj,广东省,广东,江门市,江门,jiangmenshi,Jiangmen,Guangdong
jiangxi,jiangxi,wan an,jiangxi指江西。wan an指江西的万安县，万安县所属地级行政区是吉安市，全称吉安市，简称吉安。万安县全称万安县，简称万安，填充到区,江西,吉安市,吉安,万安县,万安,江西拼音jiangxi，吉安市拼音jianshi，吉安拼音jian，万安县拼音wananxian，万安拼音wanan,jiangxi,jianshi,jian,wananxian,wanan,江西省,江西,吉安市,吉安,jianshi,jian,Jiangxi
jiangxi,jiangxi,wan an,jiangxi指江西。wan an指江西的万安县，万安县所属地级行政区是吉安市，全称吉安市，简称吉安。万安县全称万安县，简称万安，填充到区,江西,吉安市,吉安,万安县,万安,江西拼音jiangxi，吉安市拼音jianshi，吉安拼音jian，万安县拼音wananxian，万安拼音wanan,jiangxi,jianshi,jian,wananxian,wanan,江西省,江西,吉安市,吉安,jianshi,Ji'an,Jiangxi
shandong,shandong,nanshihuiyao,shandong指山东。nanshihuiyao指山东济南的南石会窑，所属地级行政是济南市，全称济南市，简称济南。南石会窑的全称是南石会窑，简称南石会窑,山东,济南市,济南,南石会窑,南石会窑,山东拼音shandong，济南市拼音jinanshi，济南拼音jinan，南石会窑拼音nanshihuiyao，南石会窑拼音nanshihuiyao,shandong,jinanshi,jinan,nanshihuiyao,nanshihuiyao,山东省,山东,济南市,济南,jinanshi,Jinan,Shandong
shandong,shandong,xiangyang subdistrict,shandong指山东。xiangyang subdistrict指山东济南的向阳街道，所属地级行政是济南市，全称济南市，简称济南。向阳街道的全称是向阳街道，简称向阳,山东,济南市,济南,向阳街道,向阳,山东拼音shandong，济南市拼音jinanshi，济南拼音jinan，向阳街道拼音xiangyangjiedao，向阳拼音xiangyang,shandong,jinanshi,jinan,xiangyangjiedao,xiangyang,山东省,山东,济南市,济南,jinanshi,Jinan,Shandong
