province_clean,zstate1,zcity3,推理,省,市全称,市简称,区全称,区简称,翻译过程,province,city,cityshort,town,townshort,provinceshortname,provincename,cityname,cityshortname,citypinyin,cityshortpinyin,provincepinyin
sichuan,sichuan,maixi township,sichuan指四川。maixi township指四川的的麦溪乡，麦溪乡隶属于阿坝藏族羌族自治州若尔盖县，若尔盖县所属地级行政区是阿坝藏族羌族自治州，全称阿坝藏族羌族自治州，简称阿坝。麦溪乡的全称是麦溪乡，简称麦溪，填充到区。,四川,阿坝藏族羌族自治州,阿坝,麦溪乡,麦溪,四川拼音sichuan，阿坝藏族羌族自治州拼音abazangzuyiqiangzuzizhizhou，阿坝拼音aba，麦溪乡拼音maixixiang，麦溪拼音maixi,sichuan,abazangzuyiqiangzuzizhizhou,aba,maixixiang,maixi,四川省,四川,阿坝藏族羌族自治州,阿坝,abacangzuqiangzuzizhizhou,Aba,Sichuan
beijing,beijing,nanmofang,beijing指北京。nanmofang指北京的南磨房，南磨房地区隶属于北京市朝阳区，全称朝阳区，简称朝阳,北京,北京市,北京,朝阳区,朝阳,北京拼音beijing，北京市拼音beijingshi，北京拼音beijing，朝阳区拼音chaoyangqu，朝阳拼音chaoyang,beijing,beijingshi,beijing,chaoyangqu,chaoyang,北京市,北京,北京市,北京,beijingshi,Beijing,Beijing
beijing,beijing,chengbei subdistrict,beijing指北京。chengbei subdistrict指北京的城北街道，所属地级行政是北京市，全称北京市，简称北京。城北街道全称城北街道，简称城北,北京,北京市,北京,城北街道,城北,北京拼音beijing，北京市拼音beijingshi，北京拼音beijing，城北街道拼音chengbeijiedao，城北拼音chengbei,beijing,beijingshi,beijing,chengbeijiedao,chengbei,北京市,北京,北京市,北京,beijingshi,Beijing,Beijing
shandong,shandong,qingfeng county,shandong指山东。qingfeng county指山东的庆云县，庆云县是县级行政区，所属地级行政区是德州市，全称德州市，简称德州。庆云县的全称是庆云县，简称庆云,山东,德州市,德州,庆云县,庆云,山东拼音shandong，德州市拼音dezhoushi，德州拼音dezhou，庆云县拼音qingyunxian，庆云拼音qingyun,shandong,dezhoushi,dezhou,qingyunxian,qingyun,山东省,山东,德州市,德州,dezhoushi,Dezhou,Shandong
guangxi,guangxi zhuang,xiufeng district,guangxi zhuang指广西壮族自治区。xiufeng district指广西桂林的秀峰区，所属地级行政是桂林市，全称桂林市，简称桂林。秀峰区全称秀峰区，简称秀峰,广西壮族自治区,桂林市,桂林,秀峰区,秀峰,广西壮族自治区拼音guangxizhuangzuzizhiqu，桂林市拼音guilinshi，桂林拼音guilin，秀峰区拼音xiufengqu，秀峰拼音xiufeng,guangxizhuangzuzizhiqu,guilinshi,guilin,xiufengqu,xiufeng,广西省,广西,桂林市,桂林,guilinshi,Guilin,Guangxi
guangxi,guangxi zhuang,haiyang township,guangxi zhuang指广西壮族自治区。haiyang township指广西桂林的海洋乡，所属地级行政是桂林市，全称桂林市，简称桂林。海洋乡的全称是海洋乡，简称海洋,广西壮族自治区,桂林市,桂林,海洋乡,海洋,广西壮族自治区拼音guangxizhuangzuzizhiqu，桂林市拼音guilinshi，桂林拼音guilin，海洋乡拼音haiyangxiang，海洋拼音haiyang,guangxizhuangzuzizhiqu,guilinshi,guilin,haiyangxiang,haiyang,广西省,广西,桂林市,桂林,guilinshi,Guilin,Guangxi
guizhou,guizhou,huaxi district,guizhou指贵州。huaxi district指贵州贵阳的花溪区，所属地级行政是贵阳市，全称贵阳市，简称贵阳。花溪区全称花溪区，简称花溪,贵州,贵阳市,贵阳,花溪区,花溪,贵州拼音guizhou，贵阳市拼音guiyangshi，贵阳拼音guiyang，花溪区拼音huaxiqu，花溪拼音huaxi,guizhou,guiyangshi,guiyang,huaxiqu,huaxi,贵州省,贵州,贵阳市,贵阳,guiyangshi,Guiyang,Guizhou
hainan,hainan,ledong li autonomous county,hainan指海南。ledong li autonomous county指海南的乐东黎族自治县，乐东黎族自治县是县级行政区，所属地级行政区是海南省直辖的县，全称海南省，简称海南。乐东黎族自治县的全称是乐东黎族自治县，简称乐东，填充到区。,海南,海南省,海南,乐东黎族自治县,乐东,海南拼音hainan，海南省拼音hainansheng，海南拼音hainan，乐东黎族自治县拼音ledonglizuzizhixian，乐东拼音ledong,hainan,hainansheng,hainan,ledonglizuzizhixian,ledong,青海省,青海,海南藏族自治州,海南,hainancangzuzizhizhou,Hainan,Qinghai
qinghai,qinghai,da qaidam,qinghai指青海。da qaidam指青海的大柴旦行政区，大柴旦行政区是县级行政区，所属地级行政区是海西蒙古族藏族自治州，全称海西蒙古族藏族自治州，简称海西。大柴旦行政区的全称是大柴旦行政区，简称大柴旦，填充到区。,青海,海西蒙古族藏族自治州,海西,大柴旦行政区,大柴旦,青海拼音qinghai，海西蒙古族藏族自治州拼音haiximengguzuyizangzuzizhizhou，海西拼音haixi，大柴旦行政区拼音dachaidanxingzhengqu，大柴旦拼音dachaidan,qinghai,haiximengguzuyizangzuzizhizhou,haixi,dachaidanxingzhengqu,dachaidan,青海省,青海,海西蒙古族藏族自治州,海西,haiximengguzucangzuzizhizhou,Haixi,Qinghai
jilin,jilin,shangzhi,jilin指吉林。shangzhi指黑龙江尚志市或吉林蛟河市的上营镇，根据省为吉林，判定为蛟河市的上营镇，上营镇隶属于吉林市，全称吉林市，简称吉林。上营镇的全称是上营镇，简称上营,吉林,吉林市,吉林,上营镇,上营,吉林拼音jilin，吉林市拼音jilinshi，吉林拼音jilin，上营镇拼音shangyingzhen，上营拼音shangying,jilin,jilinshi,jilin,shangyingzhen,shangying,吉林省,吉林,吉林市,吉林,jilinshi,Jilin,Jilin
